#,Company,Symbol,Weight,Price,Chg,% Chg
98,Chubb Limited,CB,0.215556,183.93,0.08,(0.04%)
99,Micron Technology Inc.,MU,0.213973,73.89,0.73,(1.00%)
100,T-Mobile US Inc.,TMUS,0.210763,136.7,-1.2,(-0.87%)
101,PNC Financial Services Group Inc.,PNC,0.210498,191.4,0.79,(0.41%)
102,Duke Energy Corporation,DUK,0.209769,104.87,0.08,(0.08%)
103,Estee Lauder Companies Inc. Class A,EL,0.207741,341.14,-2.35,(-0.68%)
104,Marsh & McLennan Companies Inc.,MMC,0.206963,157.07,0.66,(0.42%)
105,Fidelity National Information Services Inc.,FIS,0.205783,127.49,0.27,(0.21%)
106,U.S. Bancorp,USB,0.201808,57.3,0.22,(0.38%)
107,Truist Financial Corporation,TFC,0.199233,56.98,0.19,(0.33%)
108,ConocoPhillips,COP,0.197756,55.7,-0.51,(-0.90%)
109,Equinix Inc.,EQIX,0.196293,844.41,4.38,(0.52%)
110,CSX Corporation,CSX,0.196139,32.56,-0.55,(-1.65%)
111,Capital One Financial Corporation,COF,0.194514,165.6,0.41,(0.25%)
112,Edwards Lifesciences Corporation,EW,0.191342,116.88,-1.16,(-0.98%)
113,Sherwin-Williams Company,SHW,0.190594,303.75,-1.56,(-0.51%)
114,Becton Dickinson and Company,BDX,0.189486,250.99,0.52,(0.21%)
115,CME Group Inc. Class A,CME,0.186334,201.33,2.04,(1.02%)
116,Cigna Corporation,CI,0.185678,211.79,4.32,(2.08%)
117,Regeneron Pharmaceuticals Inc.,REGN,0.184852,671.5,-5.58,(-0.82%)
118,Fiserv Inc.,FISV,0.181426,117.84,0.88,(0.75%)
119,Southern Company,SO,0.180891,65.74,-0.01,(-0.02%)
120,Autodesk Inc.,ADSK,0.179572,310.4,-2.99,(-0.95%)
121,Eaton Corp. Plc,ETN,0.176574,168.23,-1.98,(-1.16%)
122,Illinois Tool Works Inc.,ITW,0.174652,232.69,-0.12,(-0.05%)
123,Intercontinental Exchange Inc.,ICE,0.174575,119.63,0.27,(0.23%)
124,HCA Healthcare Inc,HCA,0.173742,253.46,-0.03,(-0.01%)
125,Illumina Inc.,ILMN,0.17374,453.62,-3.38,(-0.74%)
126,Colgate-Palmolive Company,CL,0.17154,77.91,0.26,(0.33%)
127,FedEx Corporation,FDX,0.16907,265.49,-0.05,(-0.02%)
128,Norfolk Southern Corporation,NSC,0.168502,253.16,-5.08,(-1.97%)
129,Aon Plc Class A,AON,0.168025,287.18,1.84,(0.64%)
130,Boston Scientific Corporation,BSX,0.165559,45.03,0.2,(0.45%)
131,Emerson Electric Co.,EMR,0.164589,105.48,0.21,(0.20%)
132,Dominion Energy Inc,D,0.164246,77.84,-0.46,(-0.59%)
133,General Motors Company,GM,0.163707,48.95,-0.23,(-0.46%)
134,Activision Blizzard Inc.,ATVI,0.163687,82.35,1.23,(1.52%)
135,NXP Semiconductors NV,NXPI,0.163683,215.29,-12.35,(-5.43%)
136,Moody's Corporation,MCO,0.159796,380.08,-1.01,(-0.27%)
137,Waste Management Inc.,WM,0.157353,154.76,-0.37,(-0.24%)
138,Air Products and Chemicals Inc.,APD,0.155662,269.81,-0.39,(-0.14%)
139,IDEXX Laboratories Inc.,IDXX,0.1529,670.67,-16.3,(-2.37%)
140,Progressive Corporation,PGR,0.146634,96.48,0.33,(0.34%)
141,Ecolab Inc.,ECL,0.146123,225.03,-0.45,(-0.20%)
142,Northrop Grumman Corporation,NOC,0.143516,366.65,-0.97,(-0.26%)
143,Chipotle Mexican Grill Inc.,CMG,0.140493,1902.49,-13.58,(-0.71%)
